p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(1, 1) p2(1, 1) d= 0KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(1, 1) p2(1, 1) d= 0KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(1, 1) p2(1, 1) d= 0KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(1, 1) p2(1, 1) d= 0KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(1, 1) p2(1, 1) d= 0KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(1, 1) p2(1, 1) d= 0KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(1, 1) p2(1, 1) d= 0KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(1, 1) p2(1, 1) d= 0KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(1, 1) p2(1, 1) d= 0KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(1, 1) p2(1, 1) d= 0KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(1, 1) p2(1, 1) d= 0KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(1, 1) p2(1, 1) d= 0KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(1, 1) p2(1, 1) d= 0KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(1, 1) p2(1, 1) d= 0KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
p1(1, 1) p2(1, 1) d= 0KM
p1(-23.618237, -46.635197) p2(-22.9035, -43.2096) d= 358.6574185233776KM
